PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Kheradmand, B; Nieh, JC",,,,"Kheradmand, Bahram; Nieh, James C.",,,The Role of Landscapes and Landmarks in Bee Navigation: A Review,INSECTS,,,,,,,,,,,,"The ability of animals to explore landmarks in their environment is essential to their fitness. Landmarks are widely recognized to play a key role in navigation by providing information in multiple sensory modalities. However, what is a landmark? We propose that animals use a hierarchy of information based upon its utility and salience when an animal is in a given motivational state. Focusing on honeybees, we suggest that foragers choose landmarks based upon their relative uniqueness, conspicuousness, stability, and context. We also propose that it is useful to distinguish between landmarks that provide sensory input that changes (""near"") or does not change (""far"") as the receiver uses these landmarks to navigate. However, we recognize that this distinction occurs on a continuum and is not a clear-cut dichotomy. We review the rich literature on landmarks, focusing on recent studies that have illuminated our understanding of the kinds of information that bees use, how they use it, potential mechanisms, and future research directions.",,,,,,,,,,,,,,,,,,2075-4450,,,,OCT,2019,10,10,,,,,,,342,10.3390/insects10100342,,,,,,,WOS:000500573900036,31614833,,,,
J,"Kohno, H; Kubo, T",,,,"Kohno, Hiroki; Kubo, Takeo",,,Genetics in the Honey Bee: Achievements and Prospects toward the Functional Analysis of Molecular and Neural Mechanisms Underlying Social Behaviors,INSECTS,,,,,,,,,,,,"The European honey bee is a model organism for studying social behaviors. Comprehensive analyses focusing on the differential expression profiles of genes between the brains of nurse bees and foragers, or in the mushroom bodies-the brain structure related to learning and memory, and multimodal sensory integration-has identified candidate genes related to honey bee behaviors. Despite accumulating knowledge on the expression profiles of genes related to honey bee behaviors, it remains unclear whether these genes actually regulate social behaviors in the honey bee, in part because of the scarcity of genetic manipulation methods available for application to the honey bee. In this review, we describe the genetic methods applied to studies of the honey bee, ranging from classical forward genetics to recently developed gene modification methods using transposon and CRISPR/Cas9. We then discuss future functional analyses using these genetic methods targeting genes identified by the preceding research. Because no particular genes or neurons unique to social insects have been found yet, further exploration of candidate genes/neurons correlated with sociality through comprehensive analyses of mushroom bodies in the aculeate species can provide intriguing targets for functional analyses, as well as insight into the molecular and neural bases underlying social behaviors.",,,,,,,,,,,,,,,,,,2075-4450,,,,OCT,2019,10,10,,,,,,,348,10.3390/insects10100348,,,,,,,WOS:000500573900042,31623209,,,,
J,"Abbate, A; Campbell, JW; Kimmel, CB; Kern, WH",,,,"Abbate, Anthony; Campbell, Joshua W.; Kimmel, Chase B.; Kern, William H., Jr.",,,Urban development decreases bee abundance and diversity within coastal dune systems,GLOBAL ECOLOGY AND CONSERVATION,,,,,,,,,,,,"Globally, coastal human population density is approximately three times than that of inland areas. Such development threatens the integrity of coastal ecosystems. Coastal dune systems contain unique sets of terrestrial invertebrates and native plants, and represent some of the last remaining areas of semi-natural habitats along the coasts. In our study, we monitored bee and flowering plant abundance and diversity within coastal dune systems located within protected lands and developed sites throughout South and Central Florida. Our aim was to assess the potential impacts dune degradation and development could have on these economically and ecologically important insects. A total of 5419 bees from 5 families and 56 taxa were captured using bowl traps. Halictidae accounted for 70% of all bees collected, followed by Apidae (28%), Megachilidae (2%), Andrenidae (0.1%) and Colletidae (0.07%). Both species richness and Shannon-Wiener diversity indices were higher in protected lands when compared with developed sites. A majority of the commonly collected bee species showed higher abundances in protected lands compared with developed sites. Protected lands also supported higher abundances of ground, wood, and tunnel-nesting bees when compared with developed sites. Bee species richness and Shannon-Wiener indices were lower in sites with greater percentages of development occurring within close proximity to the dune systems, and higher in sites with greater availability of dune coverage. We observed higher abundance and flowering plant species richness within protected lands when compared with developed sites; protected lands also supported more federally endangered/threatened or state protected plant species compared with developed sites. Overall, coastal dune systems are ecologically important bee sanctuaries and should be conserved to help sustain native bee communities and the flowering plants that occur within them. (c) 2019 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).",,,,,,,,,,,,,,,,,2351-9894,,,,,OCT,2019,20,,,,,,,,e00711,10.1016/j.gecco.2019.e00711,,,,,,,WOS:000498226800023,,,,,
J,"Landsman, AP; Ladin, ZS; Gardner, D; Bowman, JL; Shriver, G; D'Amico, V; Delaney, DA",,,,"Landsman, Andrew P.; Ladin, Zachary S.; Gardner, David; Bowman, Jacob L.; Shriver, Greg; D'Amico, Vince; Delaney, Deborah A.",,,Local landscapes and microhabitat characteristics are important determinants of urban-suburban forest bee communities,ECOSPHERE,,,,,,,,,,,,"Despite their diversity and abundance, the importance of native, forest bee communities to pollination services and inherent biological diversity conservation is often overlooked. We studied forest bee communities in Delaware and Pennsylvania, USA, to better understand how forest bee community structure varies with changing land use and microhabitat quality among small, urban and suburban forest fragments in the mid-Atlantic United States. Our hypotheses were that (1) microhabitat quality would affect relative abundance of bee taxa, (2) surrounding landscape composition would drive local patch colonization-extinction dynamics, and (3) forest patch size would not affect community structure and composition. We found a lack of spatial autocorrelation among forest patches, indicating the importance of individual fragments in the autonomous generation and/or maintenance of bee communities. Community analyses revealed the importance of both landscape context and microhabitat quality in defining forest bee communities. By partitioning beta diversity into its constituent components, we also found that landscape composition drove changes in the relative abundance of taxa, while both landscape and microhabitat characteristics significantly influenced species turnover. Neither landscape composition nor quality of the microhabitat influenced initial site occupancy or colonization-extinction dynamics. Bisected by highways, suburban neighborhoods, agricultural lands, and urban development, many urban and suburban forest patches in the eastern United States are similar in composition to our study sites. As many native forest bees have limited capacity for long-range movement between forest patches, these remaining forest fragments are critical to the conservation of unique and speciose forest bee communities.",,,,,,,,,,,,,,,,,2150-8925,,,,,OCT,2019,10,10,,,,,,,e02908,10.1002/ecs2.2908,,,,,,,WOS:000493528200033,,,,,
J,"Maher, S; Manco, F; Ings, TC",,,,"Maher, Stephanie; Manco, Fabrizio; Ings, Thomas C.",,,Using citizen science to examine the nesting ecology of ground-nesting bees,ECOSPHERE,,,,,,,,,,,,"Suitable nest sites are a crucial habitat requirement of ground-nesting bees, but empirical studies of fossorial solitary bee nesting ecology in the UK are few in number. This study used a citizen science approach to overcome the logistical and temporal barriers associated with this type of research and to gather data on the abiotic environment associated with the nesting aggregations of four fossorial solitary bee species in the UK. Three hundred and ninety-four records were submitted by the public between March and November 2017. Sixty percent (236) of these records were verified as indicative of active nesting aggregations of the target species. Overall, the species in this study demonstrated the capacity to nest within a broad range of environmental variables. Although Colletes hederae (Schmidt and Westrich 1993) was often reported from sloped, unshaded sites, and Andrena fulva (Muller in Allioni 1766) was regularly associated with flat, shaded locations. This study demonstrated the efficacy of a citizen science approach in surmounting the intrinsic difficulties associated with studying solitary bee nest sites, which are both ephemeral and cryptic structures in the landscape.",,,,,"Maher, Stephanie/0000-0001-5484-7010",,,,,,,,,,,,2150-8925,,,,,OCT,2019,10,10,,,,,,,e02911,10.1002/ecs2.2911,,,,,,,WOS:000493528200010,,,,,
J,"Campbell, AJ; Gomes, RLC; da Silva, KC; Contrera, FAL",,,,"Campbell, Alistair John; Correa Gomes, Rafael Leandro; da Silva, Karoline Chaves; Leon Contrera, Felipe Andres",,,Temporal variation in homing ability of the neotropical stingless bee Scaptotrigona aff. postica (Hymenoptera: Apidae: Meliponini),APIDOLOGIE,,,,,,,,,,,,"Body size is a known predictor of foraging distance in stingless bees (Apidae: Meliponini). However, effects of seasonality on foraging distances, particularly in tropical regions, are poorly understood. Here, we use translocation ('homing') experiments, the release of marked individuals at various distances from the nest, to investigate how homing abilities of the Neotropical stingless bee, Scaptotrigona aff. postica differ across the transition between wet and dry seasons (February-August) in a heterogenous tropical landscape in the eastern Brazilian Amazon. We also determined nectar sugar concentrations of unmanipulated returning foragers to assess temporal changes in collected resource quality. Maximum and typical homing distances (i.e. distances where 90% and 50% of released bees are lost) were estimated to be 860 and 392 m, respectively, confirming that while some individuals travel long distances, most workers must remain close to nests during foraging trips. Homing distances and collected nectar sugar concentrations showed inverse temporal patterns, as homing range declined in later months (May to August), whereas nectar sugar concentrations increased over the same period. Thus, shorter homing distances in later 'dry season' months probably reflected an increased availability of floral resources compared with earlier months. Together, our findings highlight the limited spatial extent of foraging activities in S. aff. postica workers, and that bee homing distances vary with environmental conditions. These results provide useful information for both stingless bee colony management and conservation in humid tropical regions.",,,,"Contrera, Felipe/D-2952-2009; Campbell, Alistair/H-4401-2017","Contrera, Felipe/0000-0002-7078-5048; Campbell, Alistair/0000-0001-8163-6737",,,,,,,,,,,,0044-8435,1297-9678,,,,OCT,2019,50,5,,,,,720,732,,10.1007/s13592-019-00682-z,,,,,,,WOS:000493655800010,,,,,
J,"Tobin, KB; Calhoun, AC; Hallahan, MF; Martinez, A; Sadd, BM",,,,"Tobin, Kerrigan B.; Calhoun, Austin C.; Hallahan, Madeline F.; Martinez, Abraham; Sadd, Ben M.",,,Infection Outcomes are Robust to Thermal Variability in a Bumble Bee Host-Parasite System,INTEGRATIVE AND COMPARATIVE BIOLOGY,,,,,Symposium on World is not Flat - Accounting for the Dynamic Nature of the Environment as We Move Beyond Static Experimental Manipulations at the Annual Meeting of the Society-for-Integrative-and-Comparative-Biology,"JAN 03-07, 2019","Tampa, FL",Soc Integrat & Comparat Biol,,,,"Climate change-related increases in thermal variability and rapid temperature shifts will affect organisms in multiple ways, including imposing physiological stress. Furthermore, the effects of temperature may alter the outcome of biotic interactions, such as those with pathogens and parasites. In the context of host-parasite interactions, the beneficial acclimation hypothesis posits that shifts away from acclimation or optimum performance temperatures will impose physiological stress on hosts and will affect their ability to resist parasite infection. We investigated the beneficial acclimation hypothesis in a bumble bee-trypanosome parasite system. Freshly emerged adult worker bumble bees, Bombus impatiens, were acclimated to 21, 26, or 29 degrees C. They were subsequently experimentally exposed to the parasite, Crithidia bombi, and placed in a performance temperature that was the same as the acclimation temperature (constant) or one of the other temperatures (mismatched). Prevalence of parasite transmission was checked 4 and 6 days post-parasite exposure, and infection intensity in the gut was quantified at 8 days post-exposure. Parasite strain, host colony, and host size had significant effects on transmission prevalence and infection load. However, neither transmission nor infection intensity were significantly different between constant and mismatched thermal regimes. Furthermore, acclimation temperature, performance temperature, and the interaction of acclimation and performance temperatures had no significant effects on infection outcomes. These results, counter to predictions of the beneficial acclimation hypothesis, suggest that infection outcomes in this host-parasite system are robust to thermal variation within typically experienced ranges. This could be a consequence of adaptation to commonly experienced natural thermal regimes or a result of individual and colony level heterothermy in bumble bees. However, thermal variability may still have a detrimental effect on more sensitive stages or species, or when extreme climatic events push temperatures outside of the normally experienced range.",,,,,,,,,,,,,,,,,1540-7063,1557-7023,,,,OCT,2019,59,4,,,,,1103,1113,,10.1093/icb/icz031,,,,,,,WOS:000491253900033,31065666,,,,
J,"Lanterman, J; Reeher, P; Mitchell, RJ; Goodell, K",,,,"Lanterman, Jessie; Reeher, Paige; Mitchell, Randall J.; Goodell, Karen",,,Habitat Preference and Phenology of Nest Seeking and Foraging Spring Bumble Bee Queens in Northeastern North America (Hymenoptera: Apidae: Bombus),AMERICAN MIDLAND NATURALIST,,,,,,,,,,,,"Bumble bees are among the most abundant and important wild pollinators in North America. Spring nest establishment is a brief and vulnerable stage in the colony life cycle that is poorly understood. Bumble bee nesting activity in temperate North America has received little recent attention, and this knowledge gap is a barrier to conservation efforts. The aim of this study was to investigate the habitat use, nesting phenology, and key food plants of spring bumble bee queens. Through 108 nonlethal surveys of bumble bee queens in spring 2018, researchers observed 451 nest seeking and 555 foraging queens of nine species in Ohio, U.S.A. Spring queen activity began in mid-April and peaked in mid -May, although nest seekers were observed into late June. Nest seeking queens favored woody transitional habitats over open habitats. In accordance queen abundance and diversity increased with the proportion of forest in the surrounding landscape. The proportion of row crops and urban areas negatively influenced queen diversity and the number of nest seekers, respectively. Through a literature review, the earliest emergence dates for each species were compared for 12 datasets to establish an order of species emergence in northeastern North America. Fortyseven species of flowering plants were used by foraging queens. Highly visited food plants included both native and nonnatives(*): Lupinus perennis, Malus spp., Taraxacum officinale*, Lanicera spp.*, Larnium purpureum*, Glechoma hederacea*, Trifoliurn pratense*, and Mertensia vitginica. Systematic field surveys are needed by state to document the timing of spring queen emergence and nesting activities to inform conservation efforts.",,,,"Mitchell, Randall J/G-6380-2010","Mitchell, Randall J/0000-0001-7961-3560",,,,,,,,,,,,0003-0031,1938-4238,,,,OCT,2019,182,2,,,,,131,159,,10.1674/0003-0031-182.2.131,,,,,,,WOS:000488971400001,,,,,
J,"Sullivan, ER; Barker, C; Powell, I; Ashton, PA",,,,"Sullivan, Elizabeth R.; Barker, Carl; Powell, Ian; Ashton, Paul A.",,,Genetic diversity and connectivity in fragmented populations of Rhinanthus minor in two regions with contrasting land-use,BIODIVERSITY AND CONSERVATION,,,,,,,,,,,,"Knowledge of genetic diversity and connectivity within and between populations of specialist meadow plants is crucial to developing effective conservation strategies at the landscape-scale. This study investigated levels of genetic diversity within, and gene flow between populations of a key annual species, Rhinanthus minor in protected meadows and landscape matrix sites in two contrasting regions. Possible barriers to gene flow were also analysed. Leaf material from 714 individuals in an extensively managed upland region and an intensively managed lowland region of the UK was genotyped using microsatellite markers. Genetic diversity was similar in the two regions (H-e = 0.48 and 0.44). F-ST values indicated population differentiation in both regions but the estimate was higher in the lowland (F-ST = 0.28) than in the upland region (F-ST = 0.19); evidence of global structure was revealed in a spatial principal components analysis but a maximum likelihood population effects model did not identify significant predictors of population differentiation after testing the effects of Euclidean geographic distance, land cover and elevation. Conservation strategies should aim to maintain large populations in meadows to enhance genetic diversity. At the same time the focus should be on existing and additional species-rich grassland fragments, particularly in areas of intensive land-use, if genetic connectivity is to be retained.",,,,,"Ashton, Paul Allan/0000-0001-8715-574X; Sullivan, Elizabeth/0000-0002-3477-7681; Barker, Carl/0000-0002-5833-325X",,,,,,,,,,,,0960-3115,1572-9710,,,,OCT,2019,28,12,,,,,3159,3181,,10.1007/s10531-019-01811-x,,,,,,,WOS:000486211000005,,,,,
J,"Davodpour, R; Sobhanardakani, S; Cheraghi, M; Abdi, N; Lorestani, B",,,,"Davodpour, Rezvan; Sobhanardakani, Soheil; Cheraghi, Mehrdad; Abdi, Nourollah; Lorestani, Bahareh",,,"Honeybees (Apis mellifera L.) as a Potential Bioindicator for Detection of Toxic and Essential Elements in the Environment (Case Study: Markazi Province, Iran)",ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,,,,,,,,,,,,"Honeybees, due to their wide-ranging foraging behaviour, have great potentials for monitoring environmental quality. Therefore, the purpose of this study was to use honeybees as bioindicators for the detection of toxic and essential metals (Cd, Cr, Cu, and Fe) in the environment. Totally, 180 soil, plant (including root and aerial part), honeybees, and honey samples were collected from 12 sites within the main beekeeping and honey production regions in Markazi Province, Iran in 2016. After acid digestion of samples, the metal concentrations were measured by inductively coupled plasma-optical emission spectrometers. The translocation factor (TF), and bioconcentration factor (BCF) of metals were computed. The results showed that among the analyzed bee samples, Cd (mg kg(-1)) was detected in amounts ranging from 0.01 to 2.35, Cr (mg kg(-1)) ranged from 0.02 to 18.10, Cu (mg kg(-1)) ranged from 2.00 to 39.11, and Fe (mg kg(-1)) ranged from 163 to 1695. BCF and TF values obtained showed that the Astragalus gossypinus would have a great accumulation ability for Cd and Cr. The results indicated that honeybees could be used to detect the spatial patterns of metal contaminations in the environment they dwell in.",,,,,"Sobhan Ardakani, Soheil/0000-0002-6038-0514",,,,,,,,,,,,0090-4341,1432-0703,,,,OCT,2019,77,3,,,,,344,358,,10.1007/s00244-019-00634-9,,,,,,,WOS:000485315400004,31020373,,,,
J,"Livesey, JS; Constable, C; Rawlinson, WG; Robotham, AM; Wright, C; Hampshire, AE; Klark, EG; Borrows, WA; Horsell, D; Cresswell, JE",,,,"Livesey, Jennifer S.; Constable, Caius; Rawlinson, William G.; Robotham, Alice M.; Wright, Christopher; Hampshire, Amy E.; Klark, Emily G.; Borrows, William A.; Horsell, David; Cresswell, James E.",,,The power and efficiency of brood incubation in queenless microcolonies of bumble bees (Bombus terrestris L.),ECOLOGICAL ENTOMOLOGY,,,,,,,,,,,,"1. Ground-nesting colonies of bumble bees incubate their brood at > 30 degrees C if floral forage provides sufficient energy and the thermogenic power of the colony can counteract cool soil conditions. To explore the basis of incubation, the thermogenic power and sugar consumption of orphaned nests of bumble bee workers (microcolonies) were investigated under laboratory conditions. 2. This study tested experimentally the effect of variation in worker number (ranging from four to 12 adults) on a microcolony's capacity to regulate brood temperature and recover from acute cold exposure. Microcolonies were provided with ad libitum sugar syrup and minimal insulation and maintained at an ambient temperature of c. 25 degrees C. Energy conversion efficiency was estimated by comparing sugar consumption with the power required for artificial incubation. The joint energetics of foraging and incubation were modelled in wild colonies to explore the effect of colony size and landscape quality on thermoregulation. 3. The results showed that all sizes of microcolonies regulated brood temperature at c. 31 degrees C under laboratory conditions, which required 96 mW of thermogenic power. It was estimated that individual workers of B. terrestris generated an incubatory power of 35 mW. The smallest microcolonies had the highest conversion efficiency (57%), apparently because few workers were required for incubation. 4. Modelling indicated that small microcolonies of three to seven adult workers have the capacity for normal brood incubation in the wild, but that the minimum viable colony size increases as floral forage becomes poorer or more distant. 5. These preliminary findings suggest the feasibility of identifying the minimum conditions (forage quality, soil temperature, and colony size) necessary for brood incubation by queenright colonies in the wild.",,,,,"Cresswell, James/0000-0001-9349-3390",,,,,,,,,,,,0307-6946,1365-2311,,,,OCT,2019,44,5,,,,,601,609,,10.1111/een.12736,,,,,,,WOS:000483813200003,,,,,
J,"Lu, ZX; Xie, ZH; Zhao, JW; Chen, YQ",,,,"Lu, Z. X.; Xie, Z. H.; Zhao, J. W.; Chen, Y. Q.",,,Scale-Dependent Waylaying Effect of Pollinators and Pollination of Mass-Flowering Plants,NEOTROPICAL ENTOMOLOGY,,,,,,,,,,,,"Pollinators foraging for food resources can be waylaid by mass-flowering plants located in their foraging pathway in landscapes. The waylaying effect of pollinators is often studied at a single spatial scale; to date, little is known about the best spatial extent at which waylaying effect of pollinators can be measured. In this study, we selected a landscape with mass-flowering tufted vetches to determine the spatial scale of waylaying effect of honey bees as well as the consequence of waylaying effect on vetch pollination service. The spatial scale of waylaying effect was determined by the strongest association between honey bee density and distance, selected from a gradient of nested circular buffers centering on apiaries in three different locations. Linear models were used to predict the influence of flower visitor densities on pollination service. For our landscape, honey bee densities were best associated with distances at spatial scales of 500 m, 1150 m, and 1400 m respectively for the three locations of apiaries. Honey bee was the only pollinator whose density displayed a positive relationship with pollination service. At the scales of effect, honey bee density and pollination service declined along the distance. Our findings suggest that the waylaying effect of pollinators needs to be examined at a specific spatial scale and farmers who use honey bees to pollinate their mass-flowering crops need to consider the spatial scale of waylaying effect of pollinators in order to maximize pollination service within agricultural ecosystems.",,,,,"Xie, Zhenghua/0000-0001-8407-4063",,,,,,,,,,,,1519-566X,1678-8052,,,,OCT,2019,48,5,,,,,717,728,,10.1007/s13744-019-00688-3,,,,,,,WOS:000483786600001,31062186,,,,
J,"Peyroux, F; Mion, L; Hulin, S; Chazal, MP",,,,"Peyroux, F.; Mion, L.; Hulin, S.; Chazal, M. P.",,,Exploiting the value of natural grasslands when producing PDO Saint-Nectaire cheese: a competition using multifunctional diagnostics,FOURRAGES,,,,,,,,,,,,"The standards that must be met when producing PDO Saint-Nectaire cheese are highly focused on exploiting the value of the grass in the regions' natural grasslands. However, farmers often fail to appreciate this resource. To underscore its importance, industry stakeholders have recently launched several communication campaigns. They have also started a competition: Natural Grasslands and PDO Saint-Nectaire (Prairies naturelles de l'AOP Saint-Nectaire). Work from several research and development programmes was key in designing the competition, which both scores farms overall and rates one of their hayfields (i.e., based on foraging services, environmental value, and apicultural value). Participants benefit from the wide range of expertise represented by the panel of judges. Such expertise also helps to strike a better balance between current challenges and stakeholder perspectives, which will help promote economic development within the region.",,,,,,,,,,,,,,,,,0429-2766,,,,,Sep-30,2019,,239,2,,,,231,233,,,,,,,,,WOS:000491287100007,,,,,
J,"Favaro, R; Bauer, LM; Rossi, M; D'Ambrosio, L; Bucher, E; Angeli, S",,,,"Favaro, Riccardo; Bauer, Lisbeth Marie; Rossi, Michele; D'Ambrosio, Luca; Bucher, Edith; Angeli, Sergio",,,Botanical Origin of Pesticide Residues in Pollen Loads Collected by Honeybees During and After Apple Bloom,FRONTIERS IN PHYSIOLOGY,,,,,,,,,,,,"Honeybees closely rely on insect-pollinated plants for their survival. Each forager bee displays a tendency of loyalty toward specific plant species during the many daily foraging flights. Due to the ease of collection, pollen loads have been extensively used as a proxy for detection of pesticide residues. Pollen is the main protein food source for colonies, and its contamination has also been addressed as a reason for the colony losses phenomenon. As honeybees fly over a variable but wide range territory, they might collect pollen from both agricultural, urban and wild environments, also displaying considerable preferences in botanical sources between colonies of the same apiary. It is thus difficult to address the source of the pesticide contamination, when pollen is analyzed as a whole. In the current study, a practical and reliable approach has been proposed to narrow down the source of contamination. Pollen loads have been collected from colonies placed in eight locations over large apple orchard extensions in Trentino-South Tyrol region (Italy), during and 2 weeks after apple blossom. The pollen loads have been separated by the color due to the predominant plant species. On each color group, palynology and multi-residual chemical analyses have been performed in parallel. The pollen hazard quotient (PHQ) was used to estimate the risk to honeybees of each color group and of the total collected pollen. Apple and dandelion pollen were the main portions of the first collection, while a greater variety emerged after the apple blossom. Dandelion was always present in the samples. The frequency and the amount of pesticide residues differed according to the collection periods, the locations and the pollen color groups. The amount of insecticide residues increased after the apple blossom, while no difference between the period was found on fungicide residues. The PHQ values were higher after the blossom due to the insecticide contribution, with highest values of 160,000 and 150,000. The variations within samples did not allow to identify a unique source of contamination, whereas it seems that the pollen from plants outside the agricultural areas has as much residues as the pollen from apple orchards.",,,,,,,,,,,,,,,,,1664-042X,,,,,Sep-18,2019,10,,,,,,,,1069,10.3389/fphys.2019.01069,,,,,,,WOS:000486413400001,31620006,,,,
J,"Kahnt, B; Hattingh, WN; Theodorou, P; Wieseke, N; Kuhlmann, M; Glennon, KL; van der Niet, T; Paxton, R; Cron, GV",,,,"Kahnt, Belinda; Hattingh, Wesley N.; Theodorou, Panagiotis; Wieseke, Nicolas; Kuhlmann, Michael; Glennon, Kelsey L.; van der Niet, Timotheus; Paxton, Robert; Cron, Glynis, V",,,Should I stay or should I go? Pollinator shifts rather than cospeciation dominate the evolutionary history of South African Rediviva bees and their Diascia host plants,MOLECULAR ECOLOGY,,,,,,,,,,,,"Plant-pollinator interactions are often highly specialised, which may be a consequence of co-evolution. Yet when plants and pollinators co-evolve, it is not clear if this will also result in frequent cospeciation. Here, we investigate the mutual evolutionary history of South African oil-collecting Rediviva bees and their Diascia host plants, in which the elongated forelegs of female Rediviva have been suggested to coevolve with the oil-producing spurs of their Diascia hosts. After controlling for phylogenetic nonindependence, we found Rediviva foreleg length to be significantly correlated with Diascia spur length, suggestive of co-evolution. However, as trait correlation could also be due to pollinator shifts, we tested if cospeciation or pollinator shifts have dominated the evolution of Rediviva-Diascia interactions by analysing phylogenies in a cophylogenetic framework. Distance-based cophylogenetic analyses (PARAFIT, PACo) indicated significant congruence of the two phylogenies under most conditions. Yet, we found that phylogenetic relatedness was correlated with ecological similarity (the spectrum of partners that each taxon interacted with) only for Diascia but not for Rediviva, suggesting that phylogenetic congruence might be due to phylogenetic tracking by Diascia of Rediviva rather than strict (reciprocal) co-evolution. Furthermore, event-based reconciliation using a parsimony approach (CORE-PA) on average revealed only 11-13 cospeciation events but 58-80 pollinator shifts. Probabilistic cophylogenetic analyses (COALA) supported this trend (8-29 cospeciations vs. 40 pollinator shifts). Our study suggests that diversification of Diascia has been largely driven by Rediviva (phylogenetic tracking, pollinator shifts) but not vice versa. Moreover, our data suggest that, even in co-evolving mutualisms, cospeciation events might occur only infrequently.",,,,"; Theodorou, Panagiotis/D-4906-2015","Kahnt, Belinda/0000-0001-8720-8725; Theodorou, Panagiotis/0000-0002-4056-5300; Hattingh, Wesley/0000-0002-3626-5137",,,,,,,,,,,,0962-1083,1365-294X,,,,SEP,2019,28,17,,,,,4118,4133,,10.1111/mec.15154,,Sep-19,,,,,WOS:000486116100001,31232488,,,,
J,"Boyle, NK; Pitts-Singer, TL",,,,"Boyle, Natalie K.; Pitts-Singer, Theresa L.",,,Assessing blue orchard bee (Osmia lignaria) propagation and pollination services in the presence of honey bees (Apis mellifera) in Utah tart cherries,PEERJ,,,,,,,,,,,,"Osmia lignaria is a commercially available, native solitary bee species recognized for its propensity to forage upon and pollinate tree fruit crops such as apple, almond and cherry. This study evaluated the implementation of O. lignaria co-pollination with honey bees in central Utah commercial tart cherry orchards during 2017 and 2018 bloom. Three paired 1.2 ha sites were selected for evaluation of cherry fruit set and yield with and without managed O. lignaria releases alongside the standard honey bee hive stocking rate of 2.5 hives/ha. Osmia lignaria supplementation did not measurably increase cherry fruit set, fruit per limb cross-sectional area or fruit weight. The lack of differences in yield is likely a consequence of local saturation of pollinator services supplied by managed honey bees throughout experimental orchards, such that no additive benefit of managed O. lignaria releases were measurable. An increase in managed O. lignaria populations was achieved in 2017 but not 2018, possibly due to unknown changes to orchard management or environmental factors. While flying O. lignaria in Utah tart cherries may support sustainable in-field bee propagation, their subsequent impacts on tart cherry yield were not detected when paired with standard stocking densities of honey bees.",,,,,,,,,,,,,,,,,2167-8359,,,,,Sep-05,2019,7,,,,,,,,e7639,10.7717/peerj.7639,,,,,,,WOS:000483925200003,31534860,,,,
J,"Krishnasamy, V; Sundaraguru, R; Amala, U",,,,"Krishnasamy, V; Sundaraguru, R.; Amala, U.",,,Emerging Vistas of Remote Sensing Tools in Pollination Studies,SOCIOBIOLOGY,,,,,,,,,,,,"With the growth of information and technology across the globe, remote sensing applications find a place in the ecological studies of pollinators. The utilization of remote sensing tools in understanding the ecosystem services rendered by the bee pollinators is reviewed here. We discussed how radar and radio telemetry techniques help to track individual bees, their foraging behaviour and density in relation to altered phenology of flowering crops in a landscape. Satellite imagery tools represent a set of techniques used to assess landscape affected by anthropogenic factors that directly influence pollination ecology of bees. Habitat modelling data were generated using tools like Moderate Resolution Imaging Spectroradiometer to monitoring invasive bee species that cause a threat to native bee fauna. We explained the utilization of unmanned aerial vehicles to map the floral resources that influence the density and incidence of pollinators. Remote sensing tools were used to measure sequences of pollination events.",,,,,,,,,,,,,,,,,0361-6525,,,,,SEP,2019,66,3,,,,,394,399,,10.13102/sociobiology.v66i3.4266,,,,,,,WOS:000504008700001,,,,,
