"","Authors","Title","Year","Source.title","DOI","Abstract","Title2","Abstract2"
"2518","Adamson, NL; Roulston, TH; Fell, RD; Mullins, DE","from april to august-wild bees pollinating crops through the growing season in virginia, usa",2012,"ENVIRONMENTAL ENTOMOLOGY","10.1603/EN12073","Few baseline data exist regarding the role of wild, primarily native, non-Apis bees in pollinating crops through the growing season in the mid-Atlantic United States. Apis mellifera L., honey bees, generally are assumed to provide the majority of crop pollination, with the value of pollination provided by non-Apis bees estimated at between one-half and one-sixth the value of honey bees, though many non-Apis bees are known to be more effective in pollinating some crops. In this study, the first documenting wild bees visiting crop flowers through the growing season, non-Apis bees accounted for the majority of crop visitation for several economically important entomophilous crops in Virginia, such as apple, blueberry, caneberry, and cucurbit) and likely provided most of the pollination. Wild bees made up between 68% (in caneberries) and 83% (in cucurbits) of bees visiting crop flowers. Between 43 and 59 non-Apis bee species visited flowers of each crop (105 species overall). Species turnover was very high between sites, ranging from only 13% shared species in pairwise comparisons for blueberries to 30% shared species for caneberries. Native bee taxa most abundant on crops were Andrena F., mining bees, Bombus Latreille, bumble bees, and Osmia Panzer, mason bees, on apples and blueberries; Lasioglossum Curtis, sweat bees, on caneberries; and Peponapis pruinosa Say, squash bees, and Bombus on cucurbits. Overall, this study highlights the substantial role of native bees in agricultural pollination in this region.","from april to august-wild bees pollinating crops through the growing","Few baseline data exist regarding the role of wild, primarily"
"1776","Adedoja, OA; Kehinde, T; Samways, MJ","insect-flower interaction networks vary among endemic pollinator taxa over an elevation gradient",2018,"PLOS ONE","10.1371/journal.pone.0207453","Interaction networks are sensitive to elevation gradients through changes in local distribution of interacting partners. Here, we use plant-pollinator interaction network metrics to assess the effect of elevation on flowers and flower-visiting insect assemblages on a sentinel mountain used for monitoring climate change in the flower-and insect-rich Cape Floristic Region. We also use these interaction metrics to explain the effect of environmental factors on the interaction networks. We did this over four vegetation zones <1640m asl, as determined by former botanical studies. Overall, bees were the dominant flower visitors, followed by monkey beetles, and far behind were wasps and flies. The middle elevation zone (650-744 m a.s.l), which is also an ecotone between two distinct botanical zones, had the highest species richness and abundance of interacting plants and insects. Interaction frequency and size of network were also greatest in the middle zone, as were network diversity, generality, and linkage density, while lowest in the peak zone. In sum, there was distinct elevation zoning of flower-visiting insects. The greatest zonal change was between species at the middle compared with peak zone. Large-sized monkey beetles, bees and flies characterized the unique assemblage in the peak zone (1576-1640 m a.s.l.). The insect zonation tracked that of plant assemblages, with air temperature (lapse rate) being the primary driver of bee distribution, with lowest levels in the peak zone. In contrast, beetle distribution was driven mostly by flower assemblages as well as air temperature. In turn, wasp and fly interaction networks were not affected by any of the measured environmental variables. We conclude that increased elevation stress from reduced temperatures, changing abiotic weather conditions (e.g. strong winds at high elevations), and decline in flowering plant composition causes breakdown of interaction networks involving bees and beetles but not that of flies and wasps.","insect-flower interaction networks vary among endemic pollinator taxa over an","Interaction networks are sensitive to elevation gradients through changes in"
"1659","Adhikari, S; Burkle, LA; O'Neill, K; Weaver, DK; Delphia, CM; Menalled, F","dryland organic farming partially offsets negative effects of highly simplified agricultural landscapes on forbs, bees, and bee-flower networks",2019,"ENVIRONMENTAL ENTOMOLOGY","10.1093/ee/nvz056","Industrialized farming practices result in simplified agricultural landscapes, reduced biodiversity, and degraded species-interaction networks. Thus far, most research assessing the combined effects of farming systems and landscape complexity on beneficial insects has been conducted in relatively diversified and mesic systems and may not represent the large-scale, monoculture-based dryland agriculture that dominates many regions worldwide. Specifically, the effects of farming systems on forbs, bees, and their interactions are poorly understood in highly simplified dryland landscapes such as those in the Northern Great Plains, United States, an area globally important for conventional and organic small grain, pulse, forage, and oilseed production. During a 3-yr (2013-2015) study, we assessed 1) the effects of dryland no-till conventional and tilled organic farming on forbs, bees, and bee- flower networks and 2) the relationship between natural habitat and bee abundance. Flower density and richness were greater in tilled organic fields than in no-till conventional fields, and forb community composition differed between farming systems. We observed high bee diversity (109 taxa) in this highly simplified landscape, and bee abundance, richness, and community composition were similar between systems. Compared with tilled organic fields, bee-flower interactions in no-till conventional fields were poorly connected, suggesting these systems maintain relatively impoverished plant-pollinator networks. Natural habitat (11% of the landscape) did not affect small-bodied bee abundance in either farming system but positively affected large-bodied bees within 2,000 m of crop-field centers. In highly simplified agricultural landscapes, dryland organic farming and no-till conventional farming together support relatively high bee diversity, presumably because dryland organic farming enhances floral resources and bee-flower networks, and no-till management in conventional farming provides undisturbed ground-nesting habitats for wild bees (Hymenoptera: Apoidea).","dryland organic farming partially offsets negative effects of highly simplified","Industrialized farming practices result in simplified agricultural landscapes, reduced biodiversity,"
"1742","Adhikari, S; Burkle, LA; O'Neill, KM; Weaver, DK; Menalled, FD","dryland organic farming increases floral resources and bee colony success in highly simplified agricultural landscapes",2019,"AGRICULTURE ECOSYSTEMS & ENVIRONMENT","10.1016/j.agee.2018.10.010","Agricultural intensification has contributed to declines in wild bee populations at local and regional scales. The Northern Great Plains is a key region for small grain, forage, pulse, and oilseed production, yet the impact of available floral resources on colony success of eusocial bees is unknown. To assess the effects of farming system on bee colony success (relative growth rate and fecundity) and worker condition (lipid content and wing wear), we placed 60 mini-colonies of Bombus impatiens in six conventional and six organic spring wheat fields near Big Sandy, Montana, USA over two growing seasons. Consistent with our expectations, we found that flower density and forb richness were positively associated with colony relative growth rate and fecundity. Similarly, flower density, forb richness, and the relative growth rate and fecundity of B. impatiens colonies were greater in organic fields when compared to conventional fields. Workers from organic fields had lower mean wing wear and marginally greater average body lipid content. However, there were no differences in the number of reproductives (queens, workers, and males) between two systems. Lastly, though the overall composition of colony-collected pollen was not different across the farming systems, colony-collected pollen species richness was greater in organic fields in one of the two sampled growing seasons. We conclude that by increasing B. impatiens colony success and individual worker condition, the greater floral resources observed in organic systems can contribute to better biodiversity-based indirect ecosystem services in the highly simplified agricultural landscapes that dominates the Northern Great Plains.","dryland organic farming increases floral resources and bee colony success","Agricultural intensification has contributed to declines in wild bee populations"
"984","Afik O., Dag A., Shafir S.","honeybee, apis mellifera, round dance is influenced by trace components of floral nectar",2008,"Animal Behaviour","10.1016/j.anbehav.2007.04.012","The round dance and mutual feeding (trophallaxis) enable honeybees to transfer information concerning a food source, including its profitability. For nectar, which consists mainly of sugars, profitability is usually defined by its energetic value. Nectars, however, also contain a wide range of trace components, some of which affect their attractiveness. Honeybees produce honey from nectar. We compared the round dance and trophallaxis behaviours of bees foraging on avocado and citrus honey solutions, as a substitute for nectars. These sources differ in their trace-elements composition, with avocado nectar and honey containing higher concentrations of minerals than citrus nectar and honey. In a second experiment, we compared the behaviour of bees foraging on sucrose solution and sucrose solution enriched with four major mineral components of avocado nectar. Subjects foraging on avocado honey had a significantly lower probability of dancing than those foraging on citrus honey, a rate of direction reversals that was almost one half, a lower total number of reversals, shorter dance duration and longer trophallaxis time. When avocado honey was supplied to bees that previously fed on citrus honey, most of them avoided it, indicating a strong context effect. When foraging on mineral-enriched sugar solution, dance variables tended to be lower compared with sucrose solution without minerals, but differences were smaller than the differences between the honey solutions. These results show that nectar trace components affect the estimation of nectar profitability by bees and consequently recruitment of new foragers to nectar sources. © 2007 The Association for the Study of Animal Behaviour.","honeybee, apis mellifera, round dance is influenced by trace components","The round dance and mutual feeding (trophallaxis) enable honeybees to"
"301","Aguiar C.M.L., Caramés J., França F., Melo E.","exploitation of floral resources and niche overlap within an oil-collecting bee guild (hymenoptera: apidae) in a neotropical savannah",2017,"Sociobiology","10.13102/sociobiology.v64i1.1250","Oil bees exploit host plants for resources to feed the adults and offspring, as well as for the construction of their nests. The aim of the current study is to investigate how the species in this guild distribute their foraging effort, and the range in their niche overlap levels. Our hypothesis is that niche overlap levels are strongly affected by the exploitation of some key plants, those profitable and locally abundant oil-plants. The bees were sampled for six months, during their visits to the flowers in a savannah (Cerrado). These oil-bee species explored the floral resources provided by 13 plant species. The trophic niche of the most abundant species, Centris aenea Lepeletier, was relatively narrow, similarly to those of Epicharis species. Low overlap of trophic niches (TrNO<30%) was most commonly found. The distribution of bee visits to the host plants revealed redundancy in the floral resource exploitation. However, the foraging concentration levels in some key plants were different for distinct oil-bee species, and it contributed to the low overlap of niches between many pairs of species.","exploitation of floral resources and niche overlap within an oil-collecting","Oil bees exploit host plants for resources to feed the"
"1101","Aguilar I., Fonseca A., Biesmeijer J.C.","recruitment and communication of food source location in three species of stingless bees (hymenoptera, apidae, meliponini)",2005,"Apidologie","10.1051/apido:2005005","This study reports on controlled experiments of the recruitment behavior and location communication in three species of stingless bee Trigona corvina, Plebeia tica and Trigona (Tetragonisca) angustula. We trained bees to a sugar water feeder at 50 m and placed identical control feeders either at different distances or in different directions with respect to the nest. Both the distance and direction of the food source were communicated very accurately in T. corvina. In P. tica and T. angustula the direction of the food source was communicated. In the distance experiments with P. tica, newcomers arrived mostly at the food source nearest to the nest. Only when the control feeder had a different odor than the experimental feeder did most recruits find the experimental feeder. We found that experienced foragers of T. corvina and P. tica guide recruits to the food source by means of pilot flights. We discuss the potential mechanisms that these species may use for location communication and the implications of these differences for resource partitioning. © INRA/DIB-AGIB/ EDP Sciences, 2005.","recruitment and communication of food source location in three species","This study reports on controlled experiments of the recruitment behavior"
"1263","Aguilar I., Sommeijer M.","the deposition of anal excretions by melipona favosa foragers (apidae: meliponinae): behavioural observations concerning the location of food sources",2001,"Apidologie","10.1051/apido:2001109","Melipona favosa consistently deposited anal excretions while foraging. Anal depositions were released more frequently and by more bees on artificial food sources at a greater distance from the nest. Our hypothesis that these deposits serve as scent marks is supported by experimental evidence regarding the choices made by foraging bees arriving at food sources either with or without anal excretions. The clearly reduced visitation rate in the experimental situation without depositions indicates the importance of these cues during visitation of the food source.","the deposition of anal excretions by melipona favosa foragers (apidae:","Melipona favosa consistently deposited anal excretions while foraging. Anal depositions"
"1650","Aguilar-Arguello, S; Gerhard, D; Nelson, XJ","risk assessment and the use of novel shortcuts in spatial detouring tasks in jumping spiders",2019,"BEHAVIORAL ECOLOGY","10.1093/beheco/arz105","Selection on individuals that incorporate risk to quickly and accurately make a priori navigational assessments may lead to increased spatial ability. Jumping spiders (Araneae: Salticidae) are characterized by their highly acute vision, which mediates many behaviors, including prey capture and navigation. When moving to a specific goal (prey, nest, a potential mate, etc.), salticids rely on visual cues and spatial memory to orient in 3-dimensional space. Salticid spatial ability has been studied in homing and detour tasks, with Portia being considered one of the most skillful genera in terms of spatial ability in the family. Commonly living in complex environments, salticids are likely to encounter a wide variety of routes that could lead to a goal, and, as selection favors individuals that can accurately make assessments, they may be able to assess alternative route distances to select the most efficient route. Here, we tested whether 2 salticid species (Portia fimbriata and Trite planiceps) can discriminate and assess between different available routes by their length, and riskiness to escape from a stressful scenario. Results suggest that while Portia is more likely to choose the easiest and shortest escape routes, Trite is faster in both decision making about which route to take, and to escape. However, some individuals were able to use novel shortcuts instead of the routes expected, with Portia containing a higher proportion of shortcut-takers than Trite. These differences in spatial ability seem to correspond with the environmental complexity inhabited by each species.","risk assessment and the use of novel shortcuts in spatial","Selection on individuals that incorporate risk to quickly and accurately"
"386","Aguirre-Gutiérrez J., Kissling W.D., Carvalheiro L.G., WallisDevries M.F., Franzén M., Biesmeijer J.C.","functional traits help to explain half-century long shifts in pollinator distributions",2016,"Scientific Reports","10.1038/srep24451","Changes in climate and land use can have important impacts on biodiversity. Species respond to such environmental modifications by adapting to new conditions or by shifting their geographic distributions towards more suitable areas. The latter might be constrained by species' functional traits that influence their ability to move, reproduce or establish. Here, we show that functional traits related to dispersal, reproduction, habitat use and diet have influenced how three pollinator groups (bees, butterflies and hoverflies) responded to changes in climate and land-use in the Netherlands since 1950. Across the three pollinator groups, we found pronounced areal range expansions (>53%) and modelled range shifts towards the north (all taxa: 17-22 km), west (bees: 14 km) and east (butterflies: 11 km). The importance of specific functional traits for explaining distributional changes varied among pollinator groups. Larval diet preferences (i.e. carnivorous vs. herbivorous/detritivorous and nitrogen values of host plants, respectively) were important for hoverflies and butterflies, adult body size for hoverflies, and flight period length for all groups. Moreover, interactions among multiple traits were important to explain species' geographic range shifts, suggesting that taxon-specific multi-trait analyses are needed to predict how global change will affect biodiversity and ecosystem services.!","functional traits help to explain half-century long shifts in pollinator","Changes in climate and land use can have important impacts"
"1917","Aharon, G; Sadot, M; Yovel, Y","bats use path integration rather than acoustic flow to assess flight distance along flyways",2017,"CURRENT BIOLOGY","10.1016/j.cub.2017.10.012","Navigation can be achieved using different strategies from simple beaconing to complex map-based movement [1-4]. Bats display remarkable navigation capabilities, ranging from nightly commutes of several kilometers and up to seasonal migrations over thousands of kilometers [5]. Many bats have been suggested to fly along fixed routes termed ""flyways,'' when flying from their roost to their foraging sites [6]. Flyways commonly stretch along linear landscape elements such as tree lines, hedges, or rivers [7]. When flying along a flyway, bats must estimate the distance they have traveled in order to determine when to turn. This can be especially challenging when moving along a repetitive landscape. Some bats, like Kuhl's pipistrelles, which we studied here, have limited vision [8] and were suggested to rely on bio-sonar for navigation. These bats could therefore estimate distance using three main sensory-navigation strategies, all of which we have examined: acoustic flow, acoustic landmarks, or path integration. We trained bats to fly along a linear flyway and land on a platform. We then tested their behavior when the platform was removed under different manipulations, including changing the acoustic flow, moving the start point, and adding wind. We found that bats do not require acoustic flow, which was hypothesized to be important for their navigation [9-15], and that they can perform the task without landmarks. Our results suggest that Kuhl's pipistrelles use internal self-motion cues-also known as path integration-rather than external information to estimate flight distance for at least dozens of meters when navigating along linear flyways.","bats use path integration rather than acoustic flow to assess","Navigation can be achieved using different strategies from simple beaconing"
"2210","Ahrenfeldt, EJ; Klatt, BK; Arildsen, J; Trandem, N; Andersson, GKS; Tscharntke, T; Smith, HG; Sigsgaard, L","pollinator communities in strawberry crops - variation at multiple spatial scales",2015,"BULLETIN OF ENTOMOLOGICAL RESEARCH","10.1017/S000748531500036X","Predicting potential pollination services of wild bees in crops requires knowledge of their spatial distribution within fields. Field margins can serve as nesting and foraging habitats for wild bees and can be a source of pollinators. Regional differences in pollinator community composition may affect this spill-over of bees. We studied how regional and local differences affect the spatial distribution of wild bee species richness, activity-density and body size in crop fields. We sampled bees both from the field centre and at two different types of semi-natural field margins, grass strips and hedges, in 12 strawberry fields. The fields were distributed over four regions in Northern Europe, representing an almost 1100 km long north-south gradient. Even over this gradient, daytime temperatures during sampling did not differ significantly between regions and did therefore probably not impact bee activity. Bee species richness was higher in field margins compared with field centres independent of field size. However, there was no difference between centre and margin in body-size or activity-density. In contrast, bee activity-density increased towards the southern regions, whereas the mean body size increased towards the north. In conclusion, our study revealed a general pattern across European regions of bee diversity, but not activity-density, declining towards the field interior which suggests that the benefits of functional diversity of pollinators may be difficult to achieve through spillover effects from margins to crop. We also identified dissimilar regional patterns in bee diversity and activity-density, which should be taken into account in conservation management.","pollinator communities in strawberry crops - variation at multiple spatial","Predicting potential pollination services of wild bees in crops requires"
