Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Document Type,Source,Relevant,Region,Country,Habitat,Family,Genus species,Sex,ITD,Eusociality,Nesting,Lecty,Metric,N,distance_type,Distance,SD,SE,CI_95,Foraging trips cease (km),Communication ceases (km),Notes,follow_up
Beekman et al. (2004),,2004,,,,,,,,,,,,additional,yes,Europe,UK,urban,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,40,Mean,680,,,,,,S2 JULY,
Beekman et al. (2004),,2004,,,,,,,,,,,,additional,yes,Europe,UK,urban,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,36,Mean,1020,,,,,,S1 AUG,
Beekman et al. (2004),,2004,,,,,,,,,,,,additional,yes,Europe,UK,urban,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,40,Mean,1970,,,,,,S2 AUG,
Beekman et al. (2004),,2004,,,,,,,,,,,,additional,yes,Europe,UK,urban,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,119,Mean,2630,,,,,,L1 AUG,
Beekman et al. (2004),,2004,,,,,,,,,,,,additional,yes,Europe,UK,urban,Apidae,Apis mellifera,Female,,Social,,Polylectic,waggle dance,93,Mean,3010,,,,,,L2 AUG,
"Beil M., Horn H., Schwabe A.",Analysis of pollen loads in a wild bee community (Hymenoptera: Apidae) - A method for elucidating habitat use and foraging distances,2008,Apidologie,39,4,,456,467,,10.1051/apido:2008021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-52649178240&doi=10.1051%2fapido%3a2008021&partnerID=40&md5=47650982922b3fa93ad7b09e98c99f4d,"Resource utilisation and foraging ranges of Apidae (excluding Apis and Bombus) were studied in sandy grasslands of the temperate zone by pollen analysis combined with direct observation of bees. Plant-taxa composition of 558 pollen loads collected from 56 bee species was determined. We recorded flower-visits using plot-based observations and resource utilisation using pollen analysis. For the most important entomophilous plant species flower-visitation and pollen-analytical data correspond (e.g. Berteroa incana, Centaurea stoebe, Potentilla argentea). Whenever pollen of plant species that are limited in their occurrence could be detected, we were able to use pollen analysis to determine foraging distances, but not maximum foraging distances. Using tree pollen, minimum flight ranges up to 1250 m were documented even for bees with 7 mm body size. Thus pollen analysis not only provides valuable information about foraging on different spatial scales, but also enables foraging ranges to be calculated without experimental manipulation. Â© 2008 INRA DIB-AGIB EDP Sciences.",Article,Scopus,yes,Europe,Germany,natural - nature reserve,Andrenidae,Andrena carbonaria,Female,,,,,pollen mapping,1,Minimum,1250,,,,,,species agg,
"Beil M., Horn H., Schwabe A.",Analysis of pollen loads in a wild bee community (Hymenoptera: Apidae) - A method for elucidating habitat use and foraging distances,2008,Apidologie,39,4,,456,467,,10.1051/apido:2008021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-52649178240&doi=10.1051%2fapido%3a2008021&partnerID=40&md5=47650982922b3fa93ad7b09e98c99f4d,"Resource utilisation and foraging ranges of Apidae (excluding Apis and Bombus) were studied in sandy grasslands of the temperate zone by pollen analysis combined with direct observation of bees. Plant-taxa composition of 558 pollen loads collected from 56 bee species was determined. We recorded flower-visits using plot-based observations and resource utilisation using pollen analysis. For the most important entomophilous plant species flower-visitation and pollen-analytical data correspond (e.g. Berteroa incana, Centaurea stoebe, Potentilla argentea). Whenever pollen of plant species that are limited in their occurrence could be detected, we were able to use pollen analysis to determine foraging distances, but not maximum foraging distances. Using tree pollen, minimum flight ranges up to 1250 m were documented even for bees with 7 mm body size. Thus pollen analysis not only provides valuable information about foraging on different spatial scales, but also enables foraging ranges to be calculated without experimental manipulation. Â© 2008 INRA DIB-AGIB EDP Sciences.",Article,Scopus,yes,Europe,Germany,natural - nature reserve,Andrenidae,Andrena dorsata,Female,,,,,pollen mapping,1,Minimum,650,,,,,,,
"Beil M., Horn H., Schwabe A.",Analysis of pollen loads in a wild bee community (Hymenoptera: Apidae) - A method for elucidating habitat use and foraging distances,2008,Apidologie,39,4,,456,467,,10.1051/apido:2008021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-52649178240&doi=10.1051%2fapido%3a2008021&partnerID=40&md5=47650982922b3fa93ad7b09e98c99f4d,"Resource utilisation and foraging ranges of Apidae (excluding Apis and Bombus) were studied in sandy grasslands of the temperate zone by pollen analysis combined with direct observation of bees. Plant-taxa composition of 558 pollen loads collected from 56 bee species was determined. We recorded flower-visits using plot-based observations and resource utilisation using pollen analysis. For the most important entomophilous plant species flower-visitation and pollen-analytical data correspond (e.g. Berteroa incana, Centaurea stoebe, Potentilla argentea). Whenever pollen of plant species that are limited in their occurrence could be detected, we were able to use pollen analysis to determine foraging distances, but not maximum foraging distances. Using tree pollen, minimum flight ranges up to 1250 m were documented even for bees with 7 mm body size. Thus pollen analysis not only provides valuable information about foraging on different spatial scales, but also enables foraging ranges to be calculated without experimental manipulation. Â© 2008 INRA DIB-AGIB EDP Sciences.",Article,Scopus,yes,Europe,Germany,natural - nature reserve,Andrenidae,Andrena flavipes,Female,,,,,pollen mapping,3,Minimum,800,303.1088913,,,,,,
"Beil M., Horn H., Schwabe A.",Analysis of pollen loads in a wild bee community (Hymenoptera: Apidae) - A method for elucidating habitat use and foraging distances,2008,Apidologie,39,4,,456,467,,10.1051/apido:2008021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-52649178240&doi=10.1051%2fapido%3a2008021&partnerID=40&md5=47650982922b3fa93ad7b09e98c99f4d,"Resource utilisation and foraging ranges of Apidae (excluding Apis and Bombus) were studied in sandy grasslands of the temperate zone by pollen analysis combined with direct observation of bees. Plant-taxa composition of 558 pollen loads collected from 56 bee species was determined. We recorded flower-visits using plot-based observations and resource utilisation using pollen analysis. For the most important entomophilous plant species flower-visitation and pollen-analytical data correspond (e.g. Berteroa incana, Centaurea stoebe, Potentilla argentea). Whenever pollen of plant species that are limited in their occurrence could be detected, we were able to use pollen analysis to determine foraging distances, but not maximum foraging distances. Using tree pollen, minimum flight ranges up to 1250 m were documented even for bees with 7 mm body size. Thus pollen analysis not only provides valuable information about foraging on different spatial scales, but also enables foraging ranges to be calculated without experimental manipulation. Â© 2008 INRA DIB-AGIB EDP Sciences.",Article,Scopus,yes,Europe,Germany,natural - nature reserve,Halictidae,Lasioglossum calceatum,Female,,,,,pollen mapping,4,Minimum,545,383.5361782,,,,,,
"Beil M., Horn H., Schwabe A.",Analysis of pollen loads in a wild bee community (Hymenoptera: Apidae) - A method for elucidating habitat use and foraging distances,2008,Apidologie,39,4,,456,467,,10.1051/apido:2008021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-52649178240&doi=10.1051%2fapido%3a2008021&partnerID=40&md5=47650982922b3fa93ad7b09e98c99f4d,"Resource utilisation and foraging ranges of Apidae (excluding Apis and Bombus) were studied in sandy grasslands of the temperate zone by pollen analysis combined with direct observation of bees. Plant-taxa composition of 558 pollen loads collected from 56 bee species was determined. We recorded flower-visits using plot-based observations and resource utilisation using pollen analysis. For the most important entomophilous plant species flower-visitation and pollen-analytical data correspond (e.g. Berteroa incana, Centaurea stoebe, Potentilla argentea). Whenever pollen of plant species that are limited in their occurrence could be detected, we were able to use pollen analysis to determine foraging distances, but not maximum foraging distances. Using tree pollen, minimum flight ranges up to 1250 m were documented even for bees with 7 mm body size. Thus pollen analysis not only provides valuable information about foraging on different spatial scales, but also enables foraging ranges to be calculated without experimental manipulation. Â© 2008 INRA DIB-AGIB EDP Sciences.",Article,Scopus,yes,Europe,Germany,natural - nature reserve,Halictidae,Lasioglossum fulvicorne,Female,,,,,pollen mapping,1,Minimum,1250,,,,,,,
Bennet et al. (2018),,2018,,,,,,,,,,,,additional,yes,Australasia,New Zealand,urban,Halictidae,Lasioglossum sordidum,Female,,,,,nest plant association,,Mean,115.5,,,,,,Site 1 -Mean minimum to host plants,
Bennet et al. (2018),,2018,,,,,,,,,,,,additional,yes,Australasia,New Zealand,urban,Halictidae,Lasioglossum sordidum,Female,,,,,nest plant association,,Mean,156.81,,,,,,Site 2 - Mean minimum to host plants,
Bohart and Nye (1956),,1956,,,,,,,,,,,,GZ,,NA,NA,NA,Halictidae,Nomia melanderi,Female,2.7,,,,NA,,Max,11265,,,,,"""forage as far as seven miles""",yes_pdf,
C. O’Toole (personal communication 7/14/04),,2004,,,,,,,,,,,,GZ,,,,,Andrenidae,Andrena flavipes,Female,2.2,,,,pollen mapping,,Mean,500,,,,,Observed distance - not sure if mean or max,NA,
C. O’Toole (personal communication 7/14/04),,2004,,,,,,,,,,,,GZ,,,,,Apidae,Anthophora fulvitarsis,Female,4.9,,,,pollen mapping,,Mean,1000,,,,,Observed distance - not sure if mean or max,NA,
C. O’Toole (personal communication 7/14/04),,2004,,,,,,,,,,,,GZ,,,,,Apidae,Bombus terrestris,Female,3.5,Social,,Polylectic,pollen mapping,,Mean,2800,,,,,Observed distance - not sure if mean or max,NA,
C. O’Toole (personal communication 7/14/04),,2004,,,,,,,,,,,,GZ,,,,,Halictidae,Lasioglossum malachurum,Female,1.7,,,,nest plant association,,Mean,500,,,,,Observed distance - not sure if mean or max,NA,
C. O’Toole (personal communication 7/14/04),,2004,,,,,,,,,,,,GZ,,,,,Halictidae,Lasioglossum pauxillum,Female,1.1,,,,nest plant association,,Mean,480,,,,,Observed distance - not sure if mean or max,NA,
C. O’Toole (personal communication 7/14/04),,2004,,,,,,,,,,,,GZ,,,,,Apidae,Xylocopa rufa,Female,5.8,,,,nest plant association,,Mean,1000,,,,,Observed distance - not sure if mean or max,NA,
"Campbell A.J., Gomes R.L.C., da Silva K.C., Contrera F.A.L.",Temporal variation in homing ability of the neotropical stingless bee Scaptotrigona aff. postica (Hymenoptera: Apidae: Meliponini),2019,Apidologie,50,5,,720,732,,10.1007/s13592-019-00682-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071495307&doi=10.1007%2fs13592-019-00682-z&partnerID=40&md5=845b34b253a18f5775bef1cbe75a2842,"Body size is a known predictor of foraging distance in stingless bees (Apidae: Meliponini). However, effects of seasonality on foraging distances, particularly in tropical regions, are poorly understood. Here, we use translocation (â€˜homingâ€™) experiments, the release of marked individuals at various distances from the nest, to investigate how homing abilities of the Neotropical stingless bee, Scaptotrigona aff. postica differ across the transition between wet and dry seasons (Februaryâ€“August) in a heterogenous tropical landscape in the eastern Brazilian Amazon. We also determined nectar sugar concentrations of unmanipulated returning foragers to assess temporal changes in collected resource quality. Maximum and typical homing distances (i.e. distances where 90% and 50% of released bees are lost) were estimated to be 860 and 392Â m, respectively, confirming that while some individuals travel long distances, most workers must remain close to nests during foraging trips. Homing distances and collected nectar sugar concentrations showed inverse temporal patterns, as homing range declined in later months (May to August), whereas nectar sugar concentrations increased over the same period. Thus, shorter homing distances in later â€˜dry seasonâ€™ months probably reflected an increased availability of floral resources compared with earlier months. Together, our findings highlight the limited spatial extent of foraging activities in S. aff. postica workers, and that bee homing distances vary with environmental conditions. These results provide useful information for both stingless bee colony management and conservation in humid tropical regions. Â© 2019, INRA, DIB and Springer-Verlag France SAS, part of Springer Nature.",Article,Scopus,yes,South America,Brazil,tropical rainforest/urban,Apidae,Scaptotrigona postica,Female,,Social,,Polylectic,homing,1407,max_50,392,,,17,,,"max_90 refers to the range at which 90% return, and max_50 at which 50% return",species aff
"Campbell A.J., Gomes R.L.C., da Silva K.C., Contrera F.A.L.",Temporal variation in homing ability of the neotropical stingless bee Scaptotrigona aff. postica (Hymenoptera: Apidae: Meliponini),2019,Apidologie,50,5,,720,732,,10.1007/s13592-019-00682-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071495307&doi=10.1007%2fs13592-019-00682-z&partnerID=40&md5=845b34b253a18f5775bef1cbe75a2842,"Body size is a known predictor of foraging distance in stingless bees (Apidae: Meliponini). However, effects of seasonality on foraging distances, particularly in tropical regions, are poorly understood. Here, we use translocation (â€˜homingâ€™) experiments, the release of marked individuals at various distances from the nest, to investigate how homing abilities of the Neotropical stingless bee, Scaptotrigona aff. postica differ across the transition between wet and dry seasons (Februaryâ€“August) in a heterogenous tropical landscape in the eastern Brazilian Amazon. We also determined nectar sugar concentrations of unmanipulated returning foragers to assess temporal changes in collected resource quality. Maximum and typical homing distances (i.e. distances where 90% and 50% of released bees are lost) were estimated to be 860 and 392Â m, respectively, confirming that while some individuals travel long distances, most workers must remain close to nests during foraging trips. Homing distances and collected nectar sugar concentrations showed inverse temporal patterns, as homing range declined in later months (May to August), whereas nectar sugar concentrations increased over the same period. Thus, shorter homing distances in later â€˜dry seasonâ€™ months probably reflected an increased availability of floral resources compared with earlier months. Together, our findings highlight the limited spatial extent of foraging activities in S. aff. postica workers, and that bee homing distances vary with environmental conditions. These results provide useful information for both stingless bee colony management and conservation in humid tropical regions. Â© 2019, INRA, DIB and Springer-Verlag France SAS, part of Springer Nature.",Article,Scopus,yes,South America,Brazil,tropical rainforest/urban,Apidae,Scaptotrigona postica,Female,,Social,,Polylectic,homing,1407,max_90,860,,,27,,,Interestingly present the Greenleaf estimate and then their own results,species aff
Carreck et al. (1999),,1999,,,,,,,,,,,,GZ,,Europe,UK,Agriculture,Apidae,Bombus terrestris,Female,,Social,,Polylectic,tracking,21,Max,550,,,,,"Osborne et al (1999) A landscape scale investigation of bumble bee foraging range and constancy, using harmonic radar. Journal of Applied Ecology",Check source,
"Carvell C., Jordan W.C., Bourke A.F.G., Pickles R., Redhead J.W., Heard M.S.",Molecular and spatial analyses reveal links between colony-specific foraging distance and landscape-level resource availability in two bumblebee species,2012,Oikos,121,5,,734,742,,10.1111/j.1600-0706.2011.19832.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859706074&doi=10.1111%2fj.1600-0706.2011.19832.x&partnerID=40&md5=2384c3cd24eeb197d31a27db06a42e54,"Foraging distance is a key determinant of colony survival and pollination potential in bumblebees Bombus spp. However this aspect of bumblebee ecology is poorly understood because of the difficulty in locating colonies of these central place foragers. Here, we used a combination of molecular microsatellite analyses, remote sensing and spatial analyses using kernel density estimates to estimate nest location and foraging distances for a large number of wild colonies of two species, and related these to the distribution of foraging habitats across an experimentally manipulated landscape. Mean foraging distances were 755 m for Bombus lapidarius and 775 m for B. pascuorum (using our most conservative estimation method). Colony-specific foraging distances of both species varied with landscape structure, decreasing as the proportion of foraging habitats increased. This is the first time that foraging distance in wild bumblebees has been shown to vary with resource availability. Our method offers a means of estimating foraging distances in social insects, and informs the scale of management required to conserve bumblebee populations and enhance their pollination services across different landscapes. Â© 2011 The Authors. Oikos Â© 2011 Nordic Society Oikos.",Article,Scopus,yes,Europe,England,Agriculture,Apidae,Bombus lapidarius,Female,,Social,,Polylectic,molecular,66,Max,1579,,,,,,,
"Carvell C., Jordan W.C., Bourke A.F.G., Pickles R., Redhead J.W., Heard M.S.",Molecular and spatial analyses reveal links between colony-specific foraging distance and landscape-level resource availability in two bumblebee species,2012,Oikos,121,5,,734,742,,10.1111/j.1600-0706.2011.19832.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859706074&doi=10.1111%2fj.1600-0706.2011.19832.x&partnerID=40&md5=2384c3cd24eeb197d31a27db06a42e54,"Foraging distance is a key determinant of colony survival and pollination potential in bumblebees Bombus spp. However this aspect of bumblebee ecology is poorly understood because of the difficulty in locating colonies of these central place foragers. Here, we used a combination of molecular microsatellite analyses, remote sensing and spatial analyses using kernel density estimates to estimate nest location and foraging distances for a large number of wild colonies of two species, and related these to the distribution of foraging habitats across an experimentally manipulated landscape. Mean foraging distances were 755 m for Bombus lapidarius and 775 m for B. pascuorum (using our most conservative estimation method). Colony-specific foraging distances of both species varied with landscape structure, decreasing as the proportion of foraging habitats increased. This is the first time that foraging distance in wild bumblebees has been shown to vary with resource availability. Our method offers a means of estimating foraging distances in social insects, and informs the scale of management required to conserve bumblebee populations and enhance their pollination services across different landscapes. Â© 2011 The Authors. Oikos Â© 2011 Nordic Society Oikos.",Article,Scopus,yes,Europe,England,Agriculture,Apidae,Bombus lapidarius,Female,,Social,,Polylectic,molecular,66,Mean,755,,44.2,,,,,
