Family,Genus.species,ITD,Eusociality,Nesting,Lecty,Notes,Source,Extra
Apidae,Bombus_vancouverensis,NA,Social,,Polylectic,"Referred to as Bombus bifarius in publication, recent taxonomic revision places them as B. vancouverensis",John,
Apidae,Bombus_vosnesenskii,NA,Social,,Polylectic,,John,
Apidae,Cephalotrigona_capitata,2.3,Social,,Polylectic,,,
Apidae,Eufriesea_surinamensis,5.6,Solitary,,,,,
Apidae,Exaerete_frontalis,5.56,Solitary,,,,,
Apidae,Heterotrigona_erythrogastra,1.6,Social,,Polylectic,,,
Apidae,Heterotrigona_iridipennis,1.2,Social,,Polylectic,,,
Apidae,Melipona_compressipes,NA,Social,,Polylectic,,This is actually Melipona fasciculata (formerly M. compressipes fasciculata) - update main file,
Apidae,Melipona_fasciata,2.9,Social,,Polylectic,,,
Apidae,Melipona_fasciculata,3.32,Social,,Polylectic,,brazil_trait_dataset,
Apidae,Melipona_flavipennis,1.5,Social,,Polylectic,,,
Apidae,Melipona_mandacaia,2.9,Social,,Polylectic,,,
Apidae,Melipona_marginata,2.299,Social,,Polylectic,,https://onlinelibrary.wiley.com/doi/10.1002/ece3.4935,worker
Apidae,Melipona_panamica,2.9,Social,,Polylectic,,,
Apidae,Melipona_quadrifasciata,3,Social,,Polylectic,,brazil_trait_dataset,
Apidae,Melipona_subnitida,2.24,Social,,Polylectic,,,
Apidae,Nannotrigona_perilampoides,1.4,Social,,Polylectic,,,
Apidae,Partamona_cupira,1.8,Social,,Polylectic,,,
Apidae,Plebeia_droryana,1.2,Social,,Polylectic,,brazil_trait_dataset,
Apidae,Plebeia_mosquito,1,Social,,Polylectic,,,
Apidae,Scaptotrigona_luteipennis,2,Social,,Polylectic,,,
Apidae,Scaptotrigona_postica,1.82,Social,,Polylectic,,brazil_trait_dataset,
Apidae,Tetragonisca_angustula,1,Social,,Polylectic,,,
Apidae,Tetragonula_carbonaria,1.22962607,Social,,Polylectic,,,
Apidae,Tetraloniella_salicariae,2.1,Solitary,,,2.1,Greenleaf_2007SM,
Apidae,Trigona_amalthea,2.3,Social,,Polylectic,,,
Apidae,Trigona_corvina,1.5,Social,,Polylectic,,,
Apidae,Trigona_spinipes,1.8,Social,,Polylectic,,,
Apidae,Trigona_trinidadensis,2.218,Social,,Polylectic,2.218,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.4935,arguably synonym of T. amalthea (ITD is for T. amalthea) worker measurement
Apidae,Xylocopa_flavorufa,NA,Solitary,,,,body length: 52 mm,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/708385?casa_token=Otu08B8FyNAAAAAA:bz5LXNsMRHmlP_NB7iXcFZiKm95f512FGrflaH1fN6HKtHsar-pHhMCIJUqnR9Sndo7yLM-OZ9_g
Apidae,Xylocopa_rufa,5.8,Solitary,,,,,
Apidae,Xylocopa_violacea,7.8,Solitary,,,,,
Apidae,Xylocopa_virginica,5.6,Solitary,,,,,
Colletidae,Colletes_cunicularius,4,Solitary,,,,,
Colletidae,Colletes_daviesanus,3.7572,Solitary,,Oligolectic,3.7572,https://etheses.bham.ac.uk/id/eprint/5823/1/Fowler15PhD.pdf,female
Colletidae,Colletes_hederae,2.23,Solitary,,,3.23,Traitbase,no sex
Colletidae,Hylaeus_punctulatissimus,NA,Solitary,,,,Nacho,
Halictidae,Lasioglossum_calceatum,1.7636072,Solitary,,,,,
Halictidae,Lasioglossum_fulvicorne,1.3391875,Solitary,,,,,
Halictidae,Lasioglossum_malachurum,1.7,Solitary,,,,,
Halictidae,Lasioglossum_pauxillum,1.1,Solitary,,,,,
Halictidae,Lasioglossum_sordidum,1.289,Solitary,,,1.289,Liam_NZ-JamieStavert-pers-comm,female
Halictidae,Lasioglossum_umbripenne,1.2,Solitary,,,,,
Halictidae,Nomia_melanderi,2.7,Solitary,,,,,
Megachilidae,Anthidium_septemdentatum,NA,Solitary,,,,Nacho,
Megachilidae,Chelostoma_florisomne,1.5,Solitary,,Oligolectic,,,
Megachilidae,Chelostoma_rapunculi,1.5,Solitary,,Oligolectic,,,
Megachilidae,Heriades_truncorum,1.48025,Solitary,,Oligolectic,,,
Megachilidae,Hoplitis_adunca,2.45803527,Solitary,,Oligolectic,,,
Megachilidae,Hoplitis_anthocopoides,2.4,Solitary,,,,,
Megachilidae,Megachile_femorata,NA,Solitary,,,,Nacho,
Megachilidae,Megachile_flavipes,2.9,Solitary,,,,,
Megachilidae,Megachile_lapponica,2.8,Solitary,,,,,
Megachilidae,Megachile_nana,1.9,Solitary,,,,,
Megachilidae,Megachile_parietina,4.5,Solitary,,,,,
Megachilidae,Megachile_rotundata,2.4,Solitary,,,,,
Megachilidae,Megachile_sicula,4.3,Solitary,,,,,
Megachilidae,Megachile_spp.,NA,Solitary,,,,Remove?,
Megachilidae,Osmia_adunca,NA,Solitary,,,,Nacho,
Megachilidae,Osmia_anthocopoides,NA,Solitary,,,,Nacho,
Megachilidae,Osmia_bicornis,3.04090073,Solitary,,Polylectic,,,
Megachilidae,Osmia_cornifrons,2.9,Solitary,,,,,
Megachilidae,Osmia_cornuta,3.355,Solitary,,Polylectic,,,
Megachilidae,Osmia_lignaria,2.9,Solitary,,,,,
Megachilidae,Osmia_maritima,2.9,Solitary,,,,,
Megachilidae,Osmia_mustelina,3.5,Solitary,,,,,
Megachilidae,Osmia_pedicornis,3.3,Solitary,,,,,
Megachilidae,Osmia_rufa,2.69927536,Solitary,,,,,
Melittidae,Dasypoda_altercator,2.9,Solitary,,,,,
